signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
full_adder_tb2.a,2,0,0.0,4.651162790697674e-05,4.651162790697674e-05,0.3953488372093023,0,2,full_adder_gl2
full_adder_tb2.b,1,0,0.0,2.777777777777778e-05,2.777777777777778e-05,1.0,0,1,full_adder_gl2
full_adder_tb2.c,4,0,0.0,0.0001111111111111,0.0001111111111111,0.7222222222222222,0,4,full_adder_gl2
full_adder_tb2.dut.a,2,0,0.0,4.651162790697674e-05,4.651162790697674e-05,0.3953488372093023,0,2,full_adder_gl2
full_adder_tb2.dut.b,1,0,0.0,2.777777777777778e-05,2.777777777777778e-05,1.0,0,1,full_adder_gl2
full_adder_tb2.dut.c,4,0,0.0,0.0001111111111111,0.0001111111111111,0.7222222222222222,0,4,full_adder_gl2
full_adder_tb2.dut.carry,4,0,0.0,0.0001111111111111,0.0001111111111111,0.7222222222222222,0,4,full_adder_gl2
full_adder_tb2.dut.w3,2,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.7619047619047619,0,2,full_adder_gl2
full_adder_tb2.dut.w2,2,0,0.0,5.555555555555556e-05,5.555555555555556e-05,0.2777777777777778,0,2,full_adder_gl2
full_adder_tb2.dut.w1,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.7674418604651163,0,3,full_adder_gl2
full_adder_tb2.dut.sum,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.627906976744186,0,3,full_adder_gl2
full_adder_tb2.dut.ha1.a,2,0,0.0,4.651162790697674e-05,4.651162790697674e-05,0.3953488372093023,0,2,full_adder_gl2
full_adder_tb2.dut.ha1.b,1,0,0.0,2.777777777777778e-05,2.777777777777778e-05,1.0,0,1,full_adder_gl2
full_adder_tb2.dut.ha1.carry,2,0,0.0,5.555555555555556e-05,5.555555555555556e-05,0.2777777777777778,0,2,full_adder_gl2
full_adder_tb2.dut.ha1.sum,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.7674418604651163,0,3,full_adder_gl2
full_adder_tb2.dut.ha2.a,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.7674418604651163,0,3,full_adder_gl2
full_adder_tb2.dut.ha2.b,4,0,0.0,0.0001111111111111,0.0001111111111111,0.7222222222222222,0,4,full_adder_gl2
full_adder_tb2.dut.ha2.carry,2,0,0.0,9.523809523809524e-05,9.523809523809524e-05,0.7619047619047619,0,2,full_adder_gl2
full_adder_tb2.dut.ha2.sum,3,0,0.0,6.976744186046511e-05,6.976744186046511e-05,0.627906976744186,0,3,full_adder_gl2
tff_tb3.qb,12,0,0.0,0.0003243243243243,0.0003243243243243,0.6756756756756757,0,12,tff_gl3
tff_tb3.q,12,0,0.0,0.0003243243243243,0.0003243243243243,0.3243243243243243,0,12,tff_gl3
tff_tb3.clk,37,0,0.0,0.001,0.001,0.4864864864864865,0,37,tff_gl3
tff_tb3.t,4,0,0.0,0.0001481481481481,0.0001481481481481,0.4814814814814814,0,4,tff_gl3
tff_tb3.dut._0_,14,0,0.0,0.0003783783783783,0.0003783783783783,0.2972972972972973,0,14,tff_gl3
tff_tb3.dut.clk,37,0,0.0,0.001,0.001,0.4864864864864865,0,37,tff_gl3
tff_tb3.dut.qb,12,0,0.0,0.0003243243243243,0.0003243243243243,0.6756756756756757,0,12,tff_gl3
tff_tb3.dut.t,4,0,0.0,0.0001481481481481,0.0001481481481481,0.4814814814814814,0,4,tff_gl3
tff_tb3.dut.q,12,0,0.0,0.0003243243243243,0.0003243243243243,0.3243243243243243,0,12,tff_gl3
half_adder_tb2.SUM,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.1428571428571428,0,3,half_adder_gl2
half_adder_tb2.CARRY,2,0,0.0,5.714285714285714e-05,5.714285714285714e-05,0.5714285714285714,0,2,half_adder_gl2
half_adder_tb2.t_a,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.0,0,1,half_adder_gl2
half_adder_tb2.t_b,2,0,0.0,5.714285714285714e-05,5.714285714285714e-05,0.7142857142857143,0,2,half_adder_gl2
half_adder_tb2.dut.a,1,0,0.0,6.666666666666667e-05,6.666666666666667e-05,0.0,0,1,half_adder_gl2
half_adder_tb2.dut.b,2,0,0.0,5.714285714285714e-05,5.714285714285714e-05,0.7142857142857143,0,2,half_adder_gl2
half_adder_tb2.dut.carry,2,0,0.0,5.714285714285714e-05,5.714285714285714e-05,0.5714285714285714,0,2,half_adder_gl2
half_adder_tb2.dut.sum,3,0,0.0,8.571428571428571e-05,8.571428571428571e-05,0.1428571428571428,0,3,half_adder_gl2
mux2x1_tb3.out,3,0,0.0,0.0001111111111111,0.0001111111111111,0.3703703703703703,0,3,mux2x1_gl3
mux2x1_tb3.a,3,0,0.0,0.0001111111111111,0.0001111111111111,0.5555555555555556,0,3,mux2x1_gl3
mux2x1_tb3.b,5,0,0.0,0.0001470588235294,0.0001470588235294,0.5,0,5,mux2x1_gl3
