signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
mux4x1_tb.d,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286,mux4x1_rtl
mux4x1_tb.sel[1:0],6,0.0001714285714285,2.857142857142857e-05,1.7142857142857142e-12,0.0001714285714285,0.1428571428571428,mux4x1_rtl
mux4x1_tb.dut.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571,mux4x1_rtl
mux4x1_tb.dut.b,4,0.0002,5e-05,2e-12,0.0002,0.5,mux4x1_rtl
mux4x1_tb.dut.c,4,0.0001142857142857,2.857142857142857e-05,1.142857142857143e-12,0.0001142857142857,0.4285714285714285,mux4x1_rtl
mux4x1_tb.dut.d,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286,mux4x1_rtl
mux4x1_tb.dut.sel[1:0],6,0.0001714285714285,2.857142857142857e-05,1.7142857142857142e-12,0.0001714285714285,0.1428571428571428,mux4x1_rtl
mux4x1_tb.dut.w2,1,5e-05,5e-05,5e-13,5e-05,1.0,mux4x1_rtl
mux4x1_tb.dut.w1,5,0.0001428571428571,2.857142857142857e-05,1.4285714285714285e-12,0.0001428571428571,0.6857142857142857,mux4x1_rtl
mux4x1_tb.dut.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75,mux4x1_rtl
mux4x1_tb.dut.u1.a,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8571428571428571,mux4x1_rtl
mux4x1_tb.dut.u1.b,4,0.0002,5e-05,2e-12,0.0002,0.5,mux4x1_rtl
mux4x1_tb.dut.u1.sel,5,0.0001428571428571,2.857142857142857e-05,1.4285714285714285e-12,0.0001428571428571,0.3142857142857143,mux4x1_rtl
mux4x1_tb.dut.u1.out,5,0.0001428571428571,2.857142857142857e-05,1.4285714285714285e-12,0.0001428571428571,0.6857142857142857,mux4x1_rtl
mux4x1_tb.dut.u2.a,4,0.0001142857142857,2.857142857142857e-05,1.142857142857143e-12,0.0001142857142857,0.4285714285714285,mux4x1_rtl
mux4x1_tb.dut.u2.b,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.8285714285714286,mux4x1_rtl
mux4x1_tb.dut.u2.sel,5,0.0001428571428571,2.857142857142857e-05,1.4285714285714285e-12,0.0001428571428571,0.3142857142857143,mux4x1_rtl
mux4x1_tb.dut.u2.out,1,5e-05,5e-05,5e-13,5e-05,1.0,mux4x1_rtl
mux4x1_tb.dut.u3.a,5,0.0001428571428571,2.857142857142857e-05,1.4285714285714285e-12,0.0001428571428571,0.6857142857142857,mux4x1_rtl
mux4x1_tb.dut.u3.b,1,5e-05,5e-05,5e-13,5e-05,1.0,mux4x1_rtl
mux4x1_tb.dut.u3.sel,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714,mux4x1_rtl
mux4x1_tb.dut.u3.out,3,0.00015,5e-05,1.5e-12,0.00015,0.75,mux4x1_rtl
mux4x1_tb3.out,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.3333333333333333,mux4x1_rtl3
mux4x1_tb3.a,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.b,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.2222222222222222,mux4x1_rtl3
mux4x1_tb3.c,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.d,2,6.666666666666667e-05,3.3333333333333335e-05,6.666666666666667e-13,6.666666666666667e-05,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.sel[1:0],7,0.0001555555555555,2.2222222222222223e-05,1.5555555555555556e-12,0.0001555555555555,0.1111111111111111,mux4x1_rtl3
mux4x1_tb3.dut.a,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.dut.b,5,0.0001111111111111,2.2222222222222223e-05,1.1111111111111112e-12,0.0001111111111111,0.2222222222222222,mux4x1_rtl3
mux4x1_tb3.dut.c,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.dut.d,2,6.666666666666667e-05,3.3333333333333335e-05,6.666666666666667e-13,6.666666666666667e-05,0.6666666666666666,mux4x1_rtl3
mux4x1_tb3.dut.sel[1:0],7,0.0001555555555555,2.2222222222222223e-05,1.5555555555555556e-12,0.0001555555555555,0.1111111111111111,mux4x1_rtl3
mux4x1_tb3.dut.w2,4,8.888888888888889e-05,2.2222222222222223e-05,8.88888888888889e-13,8.888888888888889e-05,0.5555555555555556,mux4x1_rtl3
mux4x1_tb3.dut.w1,4,0.0001333333333333,3.3333333333333335e-05,1.3333333333333334e-12,0.0001333333333333,0.5,mux4x1_rtl3
